Product Name,Colors,Pic Urls,Care Instructions
Pyjama shorts in TENCEL™ Lyocell with logo print,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50431091_498_140?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Tumble Dry Low Heat , Iron Low Heat , Do not chemical dry clean"
Cotton-piqué polo shirt with reverse-logo embroidery,"Black , Dark Blue , White , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50442931_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Water-repellent regular-fit jacket with contrast lining,Dark Green,"https://images.hugoboss.com/is/image/boss/hbeu50457960_342_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Pyjama set 'Set Long Woven BM',"Open Blue , Dark Blue , Dark Grey , Open Grey","https://images.hugoboss.com/is/image/boss/20_hbeu50210447_476_21?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Slim-fit coat in water-repellent fabric,"Black , Beige","https://images.hugoboss.com/is/image/boss/hbeu50446303_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Professional wet clean"
Woven trousers 'Long Pant EW BM',"Dark Blue , Open Blue , Open Blue , Open Blue , Open Blue , Open Purple , Open Blue , Open Grey","https://images.hugoboss.com/is/image/boss/20_hbeu50210443_464_21?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Pyjama set 'Set Long Woven BM',"Dark Grey , Dark Blue , Open Blue , Open Grey","https://images.hugoboss.com/is/image/boss/20_hbeu50210447_021_31?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Woven trousers 'Long Pant EW BM',"Open Blue , Open Blue , Open Blue , Dark Blue , Open Blue , Open Purple , Open Blue , Open Grey","https://images.hugoboss.com/is/image/boss/20_hbeu50210443_482_21?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Water-repellent trench coat with adjustable belt,"Dark Blue , Dark Green , Beige","https://images.hugoboss.com/is/image/boss/hbeu50446304_405_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Regular-fit water-repellent jacket with logo artwork,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50445960_410_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Professional wet clean"
Quarter-zip logo sweater in cotton,"Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50443947_410_100?wid=462&qlt=80 , ","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Quarter-zip logo sweater in cotton,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50443947_001_100?wid=462&qlt=80 , ","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Herringbone-patterned sweater in cotton-blend chenille,"Dark Blue , Light Green","https://images.hugoboss.com/is/image/boss/hbeu50443387_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit sweater in single-jersey cotton,Red,"https://images.hugoboss.com/is/image/boss/hbeu50451211_628_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Turtleneck cotton sweater with jacquard-knitted structure,Black,"https://images.hugoboss.com/is/image/boss/hbeu50443858_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit sweater in cotton with degradé stripes,Red Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50448458_342_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-blend sweater with contrast patch and pocket,Black,"https://images.hugoboss.com/is/image/boss/hbeu50443877_001_100?wid=462&qlt=80 , ","Hand Wash Only , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
