Product Name,Colors,Pic Urls,Care Instructions
Crew-neck sweater in pure cotton with tonal logo,"Dark Grey , light pink , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50435701_033_100?wid=462&qlt=80 , ","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Cuffed tracksuit bottoms in cotton with tonal piqué structure,"Black , Blue , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50455092_001_240?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit bomber jacket with red logo label,Black,"https://images.hugoboss.com/is/image/boss/hbeu50447956_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Cotton sweater with large-scale jacquard-woven logos,Black Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50450032_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Regular-fit tracksuit bottoms in French terry,White,"https://images.hugoboss.com/is/image/boss/hbeu50449930_101_240?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Kimono 'Kimono BM' in breathable cotton blend,"White , Dark Blue","https://images.hugoboss.com/is/image/boss/20_hbeu50241056_100_21?wid=462&qlt=80 , ","40°C mild wash , Do Not Bleach , Tumble Dry Low Heat , Iron Medium Heat , Do not chemical dry clean"
Woven trousers 'Long Pant EW BM',"Open Blue , Open Blue , Open Blue , Open Blue , Dark Blue , Open Blue , Open Purple , Open Grey","https://images.hugoboss.com/is/image/boss/20_hbeu50210443_487_21?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Slim-fit water-repellent jacket with down filling,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50447098_404_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Organic-cotton sweater with contrast curved logo,Black,"https://images.hugoboss.com/is/image/boss/hbeu50440679_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Merino-wool sweater with embroidered logo,"White , Khaki , Beige","https://images.hugoboss.com/is/image/boss/hbeu50457663_131_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Pyjama set 'Set Long Woven BM',"Open Grey , Dark Blue , Open Blue , Dark Grey","https://images.hugoboss.com/is/image/boss/20_hbeu50210447_077_22?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Cotton pyjama set ´Set SS LP BM`,"Blue , Open Blue","https://images.hugoboss.com/is/image/boss/20_hbeu50210337_479_21?wid=462&qlt=80 , ","40°C coloured wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Do not chemical dry clean"
Zip-through hooded sweater in cotton and wool,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50457665_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Mock-neck sweater in a wool blend,"Dark Red , Light Blue , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50442148_609_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Dressing gown with a hood 'Hooded Robe BM',"Open Grey , Black","https://images.hugoboss.com/is/image/boss/20_hbeu50229132_068_21?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Cotton-blend mock-neck sweater with 3D structure,"Black Patterned , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50443417_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit sweater in pure cashmere,"Dark Blue , Dark Red , Light Beige , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50442201_402_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Regular-fit anorak in water-repellent crinkle fabric,White,"https://images.hugoboss.com/is/image/boss/hbeu50446812_118_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Crew-neck sweater with jacquard-knitted monograms,Black,"https://images.hugoboss.com/is/image/boss/hbeu50442157_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Regular-fit sweater in pure cashmere,"Dark Red , Dark Blue , Light Beige , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50442201_609_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
V-neck sweater in cotton with embroidered logo,"Dark Blue , Dark Red , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50442153_402_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Regular-fit sweater in pure cashmere,"Light Beige , Dark Red , Dark Blue , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50442201_293_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Cuffed tracksuit bottoms in cotton with tonal piqué structure,"Dark Blue , Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50455092_410_240?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Polo-neck sweater with gold-toned trims,Black,"https://images.hugoboss.com/is/image/boss/hbeu50442192_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
V-neck sweater in cotton with embroidered logo,"Light Grey , Dark Red , Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50442153_061_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Mock-neck sweater in a wool blend,"Black , Dark Red , Light Blue , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50442148_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Regular-fit sweater in pure cashmere,"Black , Dark Red , Dark Blue , Light Beige , Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50442201_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Relaxed-fit rollneck sweater in virgin wool,"Light Green , Dark Red","https://images.hugoboss.com/is/image/boss/hbeu50447525_355_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Embroidered-logo sweater in Italian cotton,"Black , Dark Blue , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50442138_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Mock-neck sweater with ribbed trims,Black,"https://images.hugoboss.com/is/image/boss/hbeu50446155_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Zip-front cardigan in cotton with contrast piping,"Dark Blue , Dark Green , Black","https://images.hugoboss.com/is/image/boss/hbeu50440406_411_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Zip-neck sweater in organic cotton with contrast detailing,"Light Grey , Light Blue , Dark Blue , Brown , Black","https://images.hugoboss.com/is/image/boss/hbeu50440329_059_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit sweater in pure cashmere,"Light Grey , Dark Red , Dark Blue , Light Beige , Black","https://images.hugoboss.com/is/image/boss/hbeu50442201_078_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Knitted sweater in a cotton blend with checked panels,Grey,"https://images.hugoboss.com/is/image/boss/hbeu50434317_039_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit coat in water-repellent recycled fabric,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50454042_405_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Hooded gilet with quilted-nylon front panel,Black,"https://images.hugoboss.com/is/image/boss/hbeu50451830_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
V-neck cardigan in extra-fine Italian merino wool,"Light Brown , Dark Blue , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50392802_245_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Regular-fit sweater with rubberised logo badge,Black,"https://images.hugoboss.com/is/image/boss/hbeu50434330_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Relaxed-fit bomber jacket with statement artwork,Black,"https://images.hugoboss.com/is/image/boss/hbeu50446306_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Mild professional wet clean"
Turtleneck sweater in ribbed mouliné fabric with camouflage patches,Light Green,"https://images.hugoboss.com/is/image/boss/hbeu50434342_346_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Zip-neck sweater in organic cotton with contrast detailing,"Brown , Light Blue , Dark Blue , Light Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50440329_212_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit sweater in a cotton-kapok blend,"Grey , Red , Dark Blue , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50434305_039_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Regular-fit cotton-blend sweater with 3D structure,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50434309_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Knitted jacket with baffle-quilted front panel,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50434334_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Turtleneck knitted jacket with zip-through front,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50434319_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit roll-neck sweater with mixed knits,"Dark Blue , Grey","https://images.hugoboss.com/is/image/boss/hbeu50437863_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Virgin-wool sweater with chunky rib structure,"Light Green , Green","https://images.hugoboss.com/is/image/boss/hbeu50435295_349_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Polo-collar sweater in virgin wool with embroidered logo,"light pink , Dark Blue , Dark Blue , Light Green , Beige , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50435429_687_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Colour-blocked sweater in a wool blend,Black,"https://images.hugoboss.com/is/image/boss/hbeu50434831_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Cotton-blend crew-neck sweater with diagonal ribbing,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50435306_402_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Leather jacket with zipped chest pockets,Black,"https://images.hugoboss.com/is/image/boss/hbeu50448928_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Gentle chemical dry cleaning F"
Lightweight quilted jacket in 100% recycled materials,"Black , Brown","https://images.hugoboss.com/is/image/boss/hbeu50447079_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Extra-slim-fit biker jacket in nappa leather,Black,"https://images.hugoboss.com/is/image/boss/hbeu50449575_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Gentle chemical dry cleaning F"
Hybrid zip-through jacket with drawstring hood,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50449940_402_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Mild professional wet clean"
Biker jacket in nappa leather with mixed finishes,Black,"https://images.hugoboss.com/is/image/boss/hbeu50448034_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Gentle chemical dry cleaning F"
Lightweight quilted jacket in 100% recycled materials,"Brown , Black","https://images.hugoboss.com/is/image/boss/hbeu50447079_342_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Zip-neck sweater in cotton-blend mouliné yarn,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50437852_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Lightweight down jacket with water-repellent finish,Red,"https://images.hugoboss.com/is/image/boss/hbeu50440963_002_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Micro-structured crew-neck sweater in virgin wool,"Dark Blue , Light Green , Light Grey , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50438992_404_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Slim-fit T-shirt with long sleeves in waffle cotton,"Blue , Red , Red , Dark Red , Dark Red , Light Purple , Light Blue , Light Blue , Dark Blue , Dark Blue , Light Green , Green , Green , Light Brown , White , Light Grey , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50401846_435_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Micro-structured crew-neck sweater in virgin wool,"Light Green , Dark Blue , Light Grey , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50438992_346_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Zipped cardigan in Italian virgin wool with embroidered logo,"Dark Blue , Beige , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50435451_402_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Regular-fit sweater in a cotton-kapok blend,"Dark Blue , Red , Grey , Dark Grey","https://images.hugoboss.com/is/image/boss/hbeu50434305_405_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Turtleneck sweater in extra-fine Italian merino wool,"Dark Grey , Light Orange , Dark Blue , Dark Blue , Green , Beige , White , Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50392083_061_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Polo-collar sweater in virgin wool with embroidered logo,"Black , light pink , Dark Blue , Dark Blue , Light Green , Beige , Grey","https://images.hugoboss.com/is/image/boss/hbeu50435429_001_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Merino-wool-blend sweater with polo collar,"Dark Blue , Silver , Dark Grey , Black","https://images.hugoboss.com/is/image/boss/hbeu50436279_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Tumble Dry Low Heat , Iron Low Heat , Gentle chemical dry cleaning P"
Regularf-fit sweater in structured cotton with linen trims,Light Beige,"https://images.hugoboss.com/is/image/boss/hbeu50428883_270_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P"
Knitted sweater with crew neckline,"Grey , Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50434315_034_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Hooded down jacket in water-repellent mixed fabrics,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50441016_402_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Regular-fit down-filled parka in water-repellent fabric,Blue,"https://images.hugoboss.com/is/image/boss/hbeu50440973_463_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Water-repellent bomber jacket with light padding,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50448224_402_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Packable down gilet with water-repellent outer,Light Blue,"https://images.hugoboss.com/is/image/boss/hbeu50448705_489_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Chemical dry cleaning P , Professional wet clean"
Three-in-one jacket with detachable vest and hood,"Black , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50446845_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Water-repellent down gilet with patch pockets,Beige,"https://images.hugoboss.com/is/image/boss/hbeu50447103_250_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Three-in-one jacket with detachable vest and hood,"Dark Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50446845_402_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Water-repellent softshell jacket in recycled two-layer fabric,Red,"https://images.hugoboss.com/is/image/boss/hbeu50446825_628_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean , Very mild professional wet clean"
Cotton sweater with jacquard logo motif,Black,"https://images.hugoboss.com/is/image/boss/hbeu50436626_001_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Short-sleeved knitted sweater with micro-structured stripes,"Dark Blue , Purple , Light Green , White , Light Grey","https://images.hugoboss.com/is/image/boss/hbeu50430114_402_100?wid=462&qlt=80 , ","careinstructioncode.S30R , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Chemical dry cleaning P"
Zip-neck sweater with placement graphic pattern,"Dark Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50428712_410_100?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit sweater in mouliné linen-blend yarn,"White , Light Red , Dark Blue","https://images.hugoboss.com/is/image/boss/hbeu50430505_106_100?wid=462&qlt=80 , ","Hand Wash Only , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit functional sweater in stretch cotton blend: 'ZelchiorProS17',"White , Blue , Black","https://images.hugoboss.com/is/image/boss/hbeu50328224_100_14?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit sweater in cotton blend: 'Zime_S17',Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50328108_059_14?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Cotton-blend tracksuit bottoms with mesh inserts,Black,"https://images.hugoboss.com/is/image/boss/hbeu50448230_001_240?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Regular-fit functional sweater in stretch cotton blend: 'ZelchiorProS17',"Black , Blue , White","https://images.hugoboss.com/is/image/boss/hbeu50328224_001_10?wid=462&qlt=80 , ","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Hybrid down jacket with water-repellent finish,Black,"https://images.hugoboss.com/is/image/boss/hbeu50441756_001_100?wid=462&qlt=80 , ","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Do not chemical dry clean , Professional wet clean"
