Movie Name,Duration,Genres,Director Name,Top Four Movies
The Silence of the Lambs,1h 58min,"Crime , Drama , Thriller",Jonathan Demme,"The Silence of the Lambs , Rachel Getting Married , Philadelphia , The Manchurian Candidate"
Spirited Away,2h 5min,"Animation , Adventure , Family",Hayao Miyazaki,"Spirited Away , My Neighbor Totoro , Howl's Moving Castle , Princess Mononoke"
Interstellar,2h 49min,"Adventure , Drama , Sci-Fi",Christopher Nolan,"The Prestige , Interstellar , Inception , Dunkirk"
Star Wars: Episode IV - A New Hope,2h 1min,"Action , Adventure , Fantasy",George Lucas,"Star Wars: Episode IV - A New Hope , THX 1138 , American Graffiti , Indiana Jones and the Raiders of the Lost Ark"
Life Is Beautiful,1h 56min,"Comedy , Drama , Romance",Roberto Benigni,"Life Is Beautiful , The Tiger and the Snow , Down by Law , Pinocchio"
The Shawshank Redemption,2h 22min,Drama,Frank Darabont,"The Green Mile , The Walking Dead , The Shawshank Redemption , The Mist"
One Flew Over the Cuckoo's Nest,2h 13min,Drama,Milos Forman,"One Flew Over the Cuckoo's Nest , Amadeus , The People vs. Larry Flynt , Hair"
Seven Samurai,3h 27min,"Action , Adventure , Drama",Akira Kurosawa,"The Hidden Fortress , Ran , Kagemusha , Seven Samurai"
Se7en,2h 7min,"Crime , Drama , Mystery",David Fincher,"Se7en , Zodiac , Gone Girl , The Social Network"
Saving Private Ryan,2h 49min,"Drama , War",Steven Spielberg,"Schindler's List , E.T. the Extra-Terrestrial , Saving Private Ryan , Indiana Jones and the Raiders of the Lost Ark"
Star Wars: Episode V - The Empire Strikes Back,2h 4min,"Action , Adventure , Fantasy",Irvin Kershner,"Star Wars: Episode V - The Empire Strikes Back , Never Say Never Again , RoboCop 2 , On Deadly Ground"
It's a Wonderful Life,2h 10min,"Drama , Family , Fantasy",Frank Capra,"It's a Wonderful Life , It Happened One Night , Mr. Smith Goes to Washington , Mr. Deeds Goes to Town"
Three Colors: Red,1h 39min,"Drama , Mystery , Romance",Krzysztof Kieslowski,"Three Colors: Blue , Three Colors: Red , The Double Life of Véronique , Three Colors: White"
Tangerines,1h 27min,"Drama , War",Zaza Urushadze,"Tangerines , Ak tendeba , The Confession , Three Houses"
Goodfellas,2h 26min,"Biography , Crime , Drama",Martin Scorsese,"Taxi Driver , Mean Streets , Goodfellas , The Age of Innocence"
The Battle of Algiers,2h 1min,"Drama , War",Gillo Pontecorvo,"The Battle of Algiers , Ogro , Kapo , Burn!"
The Help,2h 26min,Drama,Tate Taylor,"The Help , Winter's Bone , Pretty Ugly People , Chicken Party"
A Silent Voice: The Movie,2h 10min,"Animation , Drama , Family",Naoko Yamada,"A Silent Voice: The Movie , K-On! , Liz and the Blue Bird , Beyond the Boundary"
Drishyam,2h 43min,"Crime , Drama , Mystery",Nishikant Kamat,"Dombivli Fast , Drishyam , Mumbai Meri Jaan , Madaari"
